Time,Redirect,DNS,Connect,Request,Response,DOM Total,DOM Parse,DOM Execute Scripts,DOM Content Loaded,DOM Sub Resources,Load Event,Total Duration
Tue Apr 16 2024 20:54:41 GMT+0700 (Western Indonesia Time),0,0,47,31.5,0.9000000059604645,9,7,0,1.6999999955296516,0.30000000447034836,0,237.10000000149012
Tue Apr 16 2024 20:55:22 GMT+0700 (Western Indonesia Time),0,0,45.79999999701977,29.299999997019768,0.7000000029802322,5,4.700000002980232,0.09999999403953552,0,0.20000000298023224,0,367.6000000014901
Tue Apr 16 2024 20:57:40 GMT+0700 (Western Indonesia Time),0,0,46.69999999552965,29.600000001490116,0.7000000029802322,6.199999995529652,5.899999998509884,0.10000000149011612,0,0.19999999552965164,0,284.1000000014901
Tue Apr 16 2024 20:58:08 GMT+0700 (Western Indonesia Time),0,0,46.5,29,0.8000000044703484,7.699999995529652,7.299999997019768,0,0,0.3999999985098839,0,400.69999999552965
Tue Apr 16 2024 20:58:15 GMT+0700 (Western Indonesia Time),0,0.10000000149011612,46,28.399999998509884,0.5,5.100000001490116,4.899999998509884,0,0.10000000149011612,0.10000000149011612,0,227.10000000149012
Tue Apr 16 2024 20:58:33 GMT+0700 (Western Indonesia Time),0,0,49.5,32,0.7000000029802322,6,5.5,0.09999999403953552,0.10000000149011612,0.30000000447034836,0,611.6000000014901
Tue Apr 16 2024 21:00:53 GMT+0700 (Western Indonesia Time),0,0,48.29999999701977,27.700000002980232,0.7999999970197678,16.200000002980232,16.100000001490116,0,0,0.10000000149011612,0,423.80000000447035
Tue Apr 16 2024 21:01:38 GMT+0700 (Western Indonesia Time),0,0,50.399999998509884,31.19999999552965,1.2000000029802322,7.100000001490116,6.899999998509884,0,0,0.20000000298023224,0,409
Tue Apr 16 2024 21:03:17 GMT+0700 (Western Indonesia Time),0,0,46.900000005960464,30.80000000447035,1.1999999955296516,8.200000002980232,7.9000000059604645,0,0,0.29999999701976776,0,284.20000000298023
Tue Apr 16 2024 21:03:47 GMT+0700 (Western Indonesia Time),0,0,51.20000000298023,25.799999997019768,0.6000000014901161,11.399999998509884,11.299999997019768,0,0.10000000149011612,0,0,270.5
Tue Apr 16 2024 21:03:58 GMT+0700 (Western Indonesia Time),0,0,50.599999994039536,28.899999998509884,1.2000000029802322,10.299999997019768,9.899999998509884,0,0.10000000149011612,0.29999999701976776,0,266
Tue Apr 16 2024 21:04:31 GMT+0700 (Western Indonesia Time),0,0,49.79999999701977,31.399999998509884,1,5,4.800000004470348,0,0,0.19999999552965164,0,349.6000000014901
Tue Apr 16 2024 21:05:10 GMT+0700 (Western Indonesia Time),0,0,45,25.399999998509884,0.7999999970197678,10.200000002980232,10.200000002980232,0,0,0,0,399.1000000014901
Tue Apr 16 2024 21:05:59 GMT+0700 (Western Indonesia Time),0,0,45.899999998509884,30.5,0.8000000044703484,5.0999999940395355,4.799999997019768,0,0,0.29999999701976776,0,402
Tue Apr 16 2024 21:07:40 GMT+0700 (Western Indonesia Time),0,0,46,25.30000000447035,0.8999999985098839,6,5.700000002980232,0,0.09999999403953552,0.20000000298023224,0,400.8999999985099
Tue Apr 16 2024 21:09:03 GMT+0700 (Western Indonesia Time),0,0.10000000149011612,47,27.200000002980232,0.7000000029802322,6.899999998509884,6.5,0,0.09999999403953552,0.30000000447034836,0,295.30000000447035
Tue Apr 16 2024 21:09:22 GMT+0700 (Western Indonesia Time),0,0,48.69999999552965,31.100000001490116,6.399999998509884,60.69999999552965,59,0.10000000149011612,0.19999999552965164,1.3999999985098839,0,339.69999999552965